127.0.0.1 - - [11/May/2018:08:26:02 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/May/2018:08:26:56 +0530] "GET /Online_Social_Network/ImagesPage/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [11/May/2018:08:26:56 +0530] "GET /Online_Social_Network/ImagesPage/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20932
0:0:0:0:0:0:0:1 - - [11/May/2018:08:26:56 +0530] "GET /Online_Social_Network/ImagesPage/js/main.js HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [11/May/2018:08:26:56 +0530] "GET /Online_Social_Network/ImagesPage/js/salvattore.min.js HTTP/1.1" 200 7493
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:01 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 12052
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:01 +0530] "GET /Online_Social_Network/UploadPage/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144669
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:01 +0530] "GET /Online_Social_Network/UploadPage/assets/css/styles.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:01 +0530] "GET /Online_Social_Network/UploadPage/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:01 +0530] "GET /Online_Social_Network/UploadPage/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:07 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 13396
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:10 +0530] "GET /Online_Social_Network/SearchWeb.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:10 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:10 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:16 +0530] "GET /Online_Social_Network/assets/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:19 +0530] "GET /Online_Social_Network/Search.jsp?Search=v HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:19 +0530] "GET /Online_Social_Network/SearchWebFinal.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:19 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/May/2018:08:27:19 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2018:08:28:19 +0530] "GET /Online_Social_Network/Search.jsp?Search=k HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2018:08:28:19 +0530] "GET /Online_Social_Network/SearchWebFinal.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [11/May/2018:08:28:20 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/May/2018:08:28:20 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2018:08:28:37 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 13396
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:41 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:59 +0530] "GET /Online_Social_Network/LoginWeb.jsp HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [11/May/2018:08:29:59 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:08 +0530] "POST /Online_Social_Network/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:08 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:11 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:24 +0530] "POST /Online_Social_Network/UpdateImages.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:24 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:26 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:30 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:36 +0530] "GET /Online_Social_Network/LoginWeb.jsp HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:36 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:40 +0530] "POST /Online_Social_Network/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2018:08:30:40 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 13396
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/May/2018:08:31:19 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
